[comp] dim=32 clusters=24 V=48 K=72 hard=13/24 (XOR-coded)  seeds=2  eval=held-out 25%

=== signal=True (XOR recoverable) ===
arm                        hard_within_acc     easy_within_acc         cluster_acc                top1  hard_within_margin
frame (M=0)                          0.454               0.938               1.000               0.726              -0.024
untargeted (M=4)                     0.577               0.952               0.980               0.771               0.343
targeted (M=4)                       0.560               0.960               0.976               0.767               0.240
untargeted (M=8)                     0.790               0.970               0.990               0.881               2.294
targeted (M=8)                       0.765               0.991               0.987               0.877               2.024
untargeted (M=16)                    0.899               0.990               0.999               0.948               3.305
targeted (M=16)                      0.910               0.998               1.000               0.957               3.311
untargeted (M=32)                    0.911               0.998               0.999               0.959               3.373
targeted (M=32)                      0.934               1.000               1.000               0.971               3.812

=== signal=False control (parity is noise -> all must fail) ===
arm                        hard_within_acc     easy_within_acc         cluster_acc                top1  hard_within_margin
frame (M=0)                          0.537               0.893               1.000               0.741               0.017
targeted (M=32)                      0.530               0.996               0.995               0.786               0.146
untargeted (M=32)                    0.490               1.000               0.998               0.769               0.155
